State,Date,Retail and Rec,Grocery,Parks,Transit,Work,Residential
Alabama,2/15/2020,5.2,0.2,49.6,5.8,0.8,-0.9
Alabama,2/16/2020,-1.5,-4,-5.5,2.1,-1.9,0.5
Alabama,2/17/2020,-1.2,-4.5,12.9,5.7,-16.3,4.3
Alabama,2/18/2020,-4.3,-5,-12.5,-0.7,0.3,1.4
Alabama,2/19/2020,1.4,-0.7,6.7,3.7,1.4,0
Alabama,2/20/2020,-7.6,-6.7,-27.6,1.4,-0.7,2.9
Alabama,2/21/2020,0.5,-2.8,9.3,6.1,1.4,0.3
Alabama,2/22/2020,4.9,0.8,61.6,10.3,4.8,-1.5
Alabama,2/23/2020,3.1,0.3,12.1,10.8,1.1,-0.3
Alabama,2/24/2020,-3.7,-5.9,-19.6,-1.5,0.6,2.2
Alabama,2/25/2020,8.4,-0.6,31.8,5.7,1,-0.4
Alabama,2/26/2020,18.6,3.5,5,10.7,1.9,-1.2
Alabama,2/27/2020,16.6,5.8,9.8,10.2,2.1,-1
Alabama,2/28/2020,14.2,6,20.4,8,1,-1.6
Alabama,2/29/2020,19.7,9,73.3,19.6,4.1,-3
Alabama,3/1/2020,22.6,9.8,43.9,22.2,2.9,-2.1
Alabama,3/2/2020,10,2.4,-11.9,2.6,2.5,0.6
Alabama,3/3/2020,26.5,15.2,33.3,5.6,1.6,-1.4
Alabama,3/4/2020,7.4,-1.5,-5.6,2.8,-0.3,1.1
Alabama,3/5/2020,10.1,6.1,-1,4.4,1.6,0.8
Alabama,3/6/2020,9.1,1.6,27.4,9.6,1.8,-1.1
Alabama,3/7/2020,14.4,6,75.8,19.4,6.8,-2.6
Alabama,3/8/2020,14.9,6.9,57.9,19.9,3.3,-1.3
Alabama,3/9/2020,11.8,6.1,35.2,7.5,2.2,-1
Alabama,3/10/2020,10.5,5.7,21,5.2,0.6,0.1
Alabama,3/11/2020,10.7,6.5,27.1,6.7,0.9,-0.8
Alabama,3/12/2020,14.2,18.6,43.5,10,1.3,-1.4
Alabama,3/13/2020,8.1,28.2,23.2,7.1,-0.3,-0.2
Alabama,3/14/2020,7,28.3,61.2,13.6,4,-0.4
